07037;99990.0;100000.0;99850
61998;99990.0;100000.0;99886
61980;99970.0;100000.0;101486
07299;99990.0;100000.0;98506,8
07747;99990.0;100000.0;101174
61970;99980.0;100000.0;101299
81401;101850.0;100370.0;101129
89642;99990.0;100000.0;98118,7
07005;99990.0;100000.0;100767
07558;95510.0;90030.0;93462,5
07110;99990.0;100000.0;100533
81408;101810.0;100380.0;101100
07535;99990.0;100000.0;98694,9
07690;99990.0;100000.0;101200
07607;99990.0;100000.0;101120
78894;99980.0;100080.0;101061
07314;99990.0;100000.0;101511
67005;102130.0;100040.0;101245
07481;99990.0;100000.0;98901,2
07761;99990.0;100000.0;101463
78890;99960.0;100040.0;101177
07207;99990.0;100000.0;101225
07471;94100.0;88550.0;92154,6
07181;99980.0;100000.0;97643
07335;99990.0;100000.0;100323
07240;99990.0;100000.0;100388
07643;99990.0;100000.0;101579
07027;99990.0;100000.0;100872
07168;99990.0;100000.0;100308
07627;99290.0;93100.0;96962,1
61976;99990.0;100010.0;101050
78897;99820.0;100130.0;101429
71805;99990.0;100000.0;101259
07630;99990.0;100000.0;100016
07460;99990.0;100000.0;97885,2
07190;99990.0;100000.0;99926,5
07434;99230.0;92950.0;97011,7
07790;99990.0;100000.0;101392
07577;99990.0;100000.0;100813
61996;99990.0;100000.0;101610
78922;99960.0;100120.0;100935
61972;99990.0;100000.0;101478
07015;99990.0;100000.0;101055
07117;99990.0;100000.0;100969
07621;99840.0;93670.0;97539,6
07149;99990.0;100000.0;100620
07072;99990.0;100000.0;100546
07661;99990.0;100000.0;99939,2
07591;93540.0;88160.0;91596,6
07222;99990.0;100000.0;101414
07139;99990.0;100000.0;99979,3
81415;99990.0;100000.0;100017
61968;81440.0;100120.0;101286
07280;99990.0;100000.0;99056,1
07510;99990.0;100000.0;101213
07650;99990.0;100000.0;101212
07130;99990.0;100000.0;101241
81405;101780.0;100410.0;101127
07020;99990.0;100000.0;101481
61997;99990.0;100000.0;99102,1
07255;99990.0;100000.0;99770,8
78925;99870.0;100040.0;101381
