07005;69
07015;47
07020;6
07027;67
07037;151
07072;95
07110;94
07117;55
07130;36
07139;143
07149;89
07168;112
07181;336
07190;150
07207;34
07222;26
07240;108
07255;161
07280;219
07299;263
07314;11
07335;123
07434;402
07460;331
07471;833
07481;235
07510;47
07535;260
07558;712
07577;73
07591;871
07607;59
07621;360
07627;414
07630;151
07643;2
07650;9
07661;115
07690;2
07747;42
07761;5
07790;10
61968;3
61970;9
61972;6
61976;7
61980;8
61996;27
61997;146
61998;29
67005;7
71805;21
78890;27
78894;44
78897;11
78922;26
78925;3
81401;5
81405;4
81408;6
81415;106
89642;43
