07037;100
61998;100
61980;97
07299;100
07747;100
61970;100
81401;100
89642;100
07005;100
07558;100
07110;100
81408;100
07535;100
07690;100
07607;100
78894;100
07314;100
67005;100
07481;100
07761;100
78890;100
07207;100
07471;100
07181;100
07335;100
07240;100
07643;100
07027;100
07168;100
07627;100
61976;100
78897;100
71805;100
07630;100
07460;100
07190;100
07434;100
07790;100
07577;100
61996;100
78922;100
61972;100
07015;100
07117;100
07621;100
07149;100
07072;100
07661;100
07591;100
07222;100
07139;100
81415;100
61968;100
07280;100
07510;100
07650;100
07130;100
81405;100
07020;100
61997;100
07255;100
78925;100
